sample_id,item_qid,preferred_label,description,direct_class_labels,class_ancestor_labels,semantic_fact_texts,annotator_final_decision,annotator_eventour_category,annotator_is_ambiguous,annotator_notes
ann_0369,Q17651730,Quartiere Villa Magentino,complesso residenziale di Milano,complesso residenziale,area residenziale | complesso edilizio | development,fuso orario: UTC+2 | fuso orario: UTC+1 | architetto: Luigi Caccia Dominioni | data di fondazione o creazione: 1966-01-01,,,,
ann_0370,Q16593926,RCS Headquarters,grattacielo di Milano,grattacielo,casa a torre,proprietario: RCS MediaGroup | architetto: Stefano Boeri | data di apertura ufficiale: 2008-01-01 | numero di piani: 21,,,,
ann_0371,Q131760691,Ricevitrice Nord AEM,Stazione elettrica di Milano,edificio storico | sottostazione elettrica,edificio | edificio industriale | historic geographical object | servizio,unità amministrativa in cui è situato: Milano,,,,
ann_0372,Q111413044,Room Mate Giulia,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a quattro stelle,,,,
ann_0373,Q7367053,Rosa Grand,"building in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,proprietario: Starhotels,,,,
ann_0374,Q117184664,"S. Maurizio e Sigismondo (Monastero Maggiore), Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0375,Q3943517,SDA Bocconi School of Management,"Scuola di Direzione Aziendale, Milano, Italua",business school | scuola,istituto di istruzione superiore | istituzione educativa | organizzazione educativa | scuola,concetto più ampio: viale Bligny | luogo chiave: Viale Bligny 42 | consiste di: Campus Bocconi | data di fondazione o creazione: 1971-01-01,,,,
ann_0376,Q113319500,Sala Consultazione Moda. IED - Istituto Europeo di Design,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Istituto Europeo di Design | nome ufficiale: Sala Consultazione Moda. IED - Istituto Europeo di Design | numero di telefono: +39 02 583361 | codice postale: 20141 | dimensione della collezione o esposizione: 3500,,,,
ann_0377,Q56604893,Sala d'armi,scultura di Arnaldo Pomodoro,scultura,artefatto | oggetto tridimensionale | opera d'arte visiva,collezione: Museo Poldi Pezzoli | creatore: Arnaldo Pomodoro | designazione del patrimonio: bene culturale italiano | data di fondazione o creazione: 2000-01-01,,,,
ann_0378,Q113687433,Sala di lettura dell'Amministrazione delle Istituzioni pubbliche di assistenza e beneficenza - IPAB - Istituto geriatrico Piero Redaelli,biblioteca pubblica a Milano,biblioteca pubblica,biblioteca | servizio,giorni di apertura: lunedì | giorni di apertura: venerdì | numero di telefono: +39 02413151 | codice postale: 20146 | dimensione della collezione o esposizione: 3100 | nome ufficiale: Sala di lettura dell'Amministrazione delle Istituzioni pubbliche di assistenza e beneficenza - IPAB - Istituto geriatrico Piero Redaelli,,,,
ann_0379,Q3266546,Salone Margherita,antico teatro di Milano,ex teatro | teatro d'opera,edificio | edificio per spettacoli | edificio scomparso | luogo per eventi musicali | teatro,situato nell'odierna unità amministrativa: Milano | dedicato a: Margherita d'Austria-Stiria,,,,
ann_0380,Q3949256,Santa Tecla,"building in Milan, Italy",caffetteria | discoteca,drinking establishment | negozio | posizione fisica | Q131907367,unità amministrativa in cui è situato: Milano,,,,
ann_0381,Q875862,Scuola Germanica di Milano,"international, bilingual school in Milan, Italy",istituzione educativa,fornitore di servizi | organizzazione educativa | pedagogic institution,data di fondazione o creazione: 1886-01-01,,,,
ann_0382,Q1734889,Scuola Svizzera di Milano,"school in Milan, Italy",scuola,istituzione educativa | organizzazione educativa,data di fondazione o creazione: 1861-01-01,,,,
ann_0383,Q3953368,Scuola superiore d'Arte applicata all'Industria del Castello Sforzesco,istituto di istruzione superiore a Milano,accademia di belle arti | istituzione educativa,accademia | fornitore di servizi | istituzione educativa d'arte | organizzazione educativa | pedagogic institution,unità amministrativa in cui è situato: Milano,,,,
ann_0384,Q111878948,Sina The Gray,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle,,,,
ann_0385,Q124408046,Sio Café,,night club,alcohol drinking establishment | dance venue | edificio per spettacoli | luogo per eventi musicali,evento significativo: Caso Robinho,,,,
ann_0386,Q62566206,Stazione funebre di Porta Romana,Stazione funebre tranviaria di Milano,fermata del tram,rail transport station | stazione | tram infrastructure,sistema di trasporto: rete tranviaria di Milano | stato d'uso: smantellato | stile architettonico: architettura art nouveau | data di apertura ufficiale: 1908-01-01,,,,
ann_0387,Q117184659,"Teatro Filodrammatici, Archivio",archivio a Milano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0388,Q3982109,Teatro Re,teatro di Milano,teatro,edificio culturale | edificio per spettacoli | theatre venue,ha sostituito la struttura: chiesa di San Salvatore in Xenodochio | architetto: Luigi Canonica | data di scioglimento o demolizione: 1872-01-01 | data di apertura ufficiale: 1813-01-01,,,,
ann_0389,Q65128230,The Corner,edificio di Milano,edificio per uffici,edificio,architetto: Melchiorre Bega | data di apertura ufficiale: 1964-01-01 | numero di piani: 11,,,,
ann_0390,Q136757906,The Sign Palace,palace of Milano,palazzo,casa | edificio | struttura architettonica,sottoclasse di: Soupra | concetto più ampio: Libera Università di Lingue e Comunicazione IULM | concetto più ampio: via Giuseppe Ripamonti | proprietario: L'Oréal | superficie: 56000,,,,
ann_0391,Q123166498,Thetris,"building in Milan, Italy",edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0392,Q110409361,Torre Arcobaleno,,serbatoio idrico a torre,technical monument | torre | water storage,unità amministrativa in cui è situato: Milano,,,,
ann_0393,Q16616932,Torre Aria,,casa | torre,edificio | edificio abitativo | rifugio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0394,Q133827113,Torre Bonnet,"skyscraper in Milan, Italy",edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0395,Q123024066,Torre Monforte,edificio di Milano,edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0396,Q3995281,Torre Servizi Tecnici Comunali,grattacielo di Milano,grattacielo,casa a torre,numero di piani: 24,,,,
ann_0397,Q133826837,Torre Snam,grattacielo di Milano,edificio | edificio per uffici,edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0398,Q3995283,Torre Snia Viscosa,grattacielo di Milano,grattacielo,casa a torre,architetto: Alessandro Rimini | prende il nome da: SNIA | numero di piani: 15,,,,
ann_0399,Q3995285,Torre Solaria,grattacielo di Milano,grattacielo,casa a torre,parte di: centro direzionale di Milano | architetto: Bernardo Fort-Brescia | data di apertura ufficiale: 2014-01-01 | data di fondazione o creazione: 2013-01-01 | numero di piani: 37,,,,
ann_0400,Q16616963,Torre Solea,,abitazione | grattacielo,alloggiamento | casa a torre | housing | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0401,Q30881055,Torre Unipol,grattacielo di Milano,grattacielo,casa a torre,evento significativo: inizio dei lavori di costruzione | proprietario: Unipol Gruppo | architetto: Mario Cucinella | piani entro terra: 3 | numero di piani: 23,,,,
ann_0402,Q3995592,Torre di Porta Romana,grattacielo di Milano,grattacielo,casa a torre,prende il nome da: Porta Romana | data di fondazione o creazione: 1959-01-01 | numero di ascensori: 4 | altezza: 90 | numero di piani: 23,,,,
ann_0403,Q131905286,Torri Giume,complesso di grattacieli di Milano,casa multifamiliare | complesso edilizio | grattacielo | torre,casa a torre | complesso di edifici | edificio | edificio abitativo | oggetto geografico | servizio | set of physical objects | struttura architettonica,offre una vista su: viale Fulvio Testi | ispirato dall'opera: Giuliana | forma giuridica: società per azioni | appaltatore: Aldo Natoli | uso: appartamento | materiale usato: calcestruzzo armato | evento significativo: periodo di costruzione | evento significativo: inizio dei lavori di costruzione,,,,
ann_0404,Q667974,TownHouse Galleria,Albergo di lusso a Milano,albergo,alloggiamento | impresa | struttura architettonica,data di apertura ufficiale: 2007-03-07 | data di fondazione o creazione: 2007-01-01 | numero di piani: 5,,,,
ann_0405,Q111413080,Unahotels Scandinavia Milano,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a quattro stelle,,,,
ann_0406,Q3551506,Università Vita-Salute San Raffaele,università privata a Milano,università,elemento geolocalizzabile | istituto di istruzione superiore | istituzione accademica,affiliazione: ospedale San Raffaele | membro di: Coalition for Advancing Research Assessment | membro di: ORCID | proprietario: Gruppo San Donato | data di inizio: 1996-01-01 | nome in breve: UNISR | nome originale locale: Università Vita-Salute San Raffaele | posizione in classifica: 595,,,,
ann_0407,Q1073674,Università degli Studi di Milano-Bicocca,"università pubblica di Milano, Lombardia (1998)",medio editore | università,casa editrice | elemento geolocalizzabile | istituto di istruzione superiore | istituzione accademica | piccola e media impresa,motto: Audentes Fortuna iuvat | interessato a: statistica | interessato a: sociologia | rettore: Marco Emilio Orlandi | lingua usata: italiano | categoria per gli alunni dell'istituto scolastico: Categoria:Studenti dell'Università degli Studi di Milano-Bicocca | sede legale: Milano | distinto da: Università degli Studi di Milano,,,,
ann_0408,Q107098075,Via Antonio Pianella,strada di Milano,strada urbana,infrastruttura di trasporto | strada | struttura architettonica,prende il nome da: Antonio Pianella | codice via: 6508,,,,
ann_0409,Q107031029,Via Filippo Tajani,strada di Milano,strada urbana,infrastruttura di trasporto | strada | struttura architettonica,prende il nome da: Filippo Tajani | codice via: 3235,,,,
ann_0410,Q113141424,Via Milazzo 12,building in Milano,edificio,struttura architettonica,residenza ufficiale: Francesco Filippini | confina con: Anteo Spazio Cinema,,,,
ann_0411,Q59471083,Via Monte Generoso 4,building in Milan,edificio,struttura architettonica,evento significativo: costruzione edilizia | architetto: Gigi Ghò,,,,
ann_0412,Q55293141,Via Ulrico Hoepli 5,edificio per uffici di Milano,edificio per uffici,edificio,architetto: Gino Pollini | architetto: Luigi Figini | data di fondazione o creazione: 1957-01-01,,,,
ann_0413,Q59470589,Via Vittor Pisani 16,building in Milan,edificio,struttura architettonica,evento significativo: costruzione edilizia | architetto: Gigi Ghò,,,,
ann_0414,Q63724768,Via dei Giardini 7,edificio di Milano,edificio,struttura architettonica,stato del copyright: coperto da diritti d'autore | architetto: Antonio Carminati | architetto: Carlo De Carli,,,,
ann_0415,Q55442993,Viale Abruzzi 94 - Via Nicola Antonio Porpora 10,edificio per uffici di Milano,edificio per uffici,edificio,architetto: Claudio Dini,,,,
ann_0416,Q134567442,Viale Beatrice d'Este 17,"palace of Milano, Italy",palazzo,casa | edificio | struttura architettonica,persona significativa: Fiorenzo Tomea | persona significativa: Elisabetta Keller,,,,
ann_0417,Q136327921,Villa Borletti,villa in Milan,villa,casa,unità amministrativa in cui è situato: Municipio 1 di Milano,,,,
ann_0418,Q106632692,Villaggio La Postelegrafonica,complesso residenziale di Milano,gruppo di case,complesso edilizio,fuso orario: UTC+2 | fuso orario: UTC+1 | data di fondazione o creazione: 1920-01-01,,,,
ann_0419,Q112134535,Villaggio Olimpico di Milano,Complesso residenziale per le olimpiche invernali del 2026,villaggio olimpico,alloggio | complesso di edifici | insediamento umano,"uso: XIV Giochi paralimpici invernali | uso: XXV Giochi olimpici invernali | architetto: Skidmore, Owings & Merrill",,,,
ann_0420,Q7988921,Westin Palace Milan,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle | data di apertura ufficiale: 1950-01-01 | numero di piani: 12,,,,
ann_0421,Q111413069,Windsor Hotel Milano,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a quattro stelle,,,,
ann_0422,Q16623514,World Join Center,grattacielo di Milano,grattacielo,casa a torre,data di apertura ufficiale: 2010-01-01 | numero di piani: 20,,,,
ann_0423,Q98317531,albergo incompiuto di Ponte Lambro,,albergo | edificio incompiuto,alloggiamento | impresa | opera incompiuta | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0424,Q64983710,biblioteca Dergano-Bovisa,biblioteca di Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,unità amministrativa in cui è situato: Milano,,,,
ann_0425,Q124547741,biblioteca comunale rionale vigentina,biblioteca italiana di Milano,biblioteca di un ente territoriale italiano,biblioteca,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Vigentina | numero di telefono: +39 0288465798 | visitatori annui: 8605,,,,
ann_0426,Q3654700,campo di via Goldoni,ex campo da calcio di Milano,impianto di calcio,impianto sportivo | stadio,sport: calcio | proprietario: Milano | data di apertura ufficiale: 1913-01-01,,,,
ann_0427,Q85860464,casa Borella,edificio di Milano,palazzo,casa | edificio | struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0428,Q117306367,casa Cozzi,edificio di Milano,edificio,struttura architettonica,evento significativo: edilizia | architetto: Alessandro Cairoli,,,,
ann_0429,Q113458501,casa Crespi,"edificio di Milano, in via Sant'Andrea",edificio,struttura architettonica,via: via Sant’Andrea,,,,
ann_0430,Q28669478,casa Crespi,"edificio di Milano, in corso Venezia",palazzo,casa | edificio | struttura architettonica,via: corso Venezia,,,,
ann_0431,Q28668086,casa Grondona,edificio di Milano,edificio,struttura architettonica,architetto: Enrico Terzaghi,,,,
ann_0432,Q17462057,casa della Meridiana,edificio residenziale di Milano,edificio | orto botanico,collezione | giardino espositivo | GLAM | istituto di ricerca | servizio | struttura architettonica | verde urbano,opere rilevanti: orologio solare | struttura presente: Giardino d'Arcadia | proprietario: Paola Melzi d'Eril | proprietario: Casato dei Melzi | stile architettonico: Novecento | architetto: Giuseppe De Finetti | data di fondazione o creazione: 1924-01-01,,,,
ann_0433,Q131740852,cascina Besozzi,cascina di Milano,cascina,casa | fattoria,unità amministrativa in cui è situato: Municipio 2 di Milano,,,,
ann_0434,Q117124054,case ECA,edificio di Milano,edificio,struttura architettonica,architetto: Mario Bacciocchi | data di fondazione o creazione: 1947-01-01,,,,
ann_0435,Q106542504,case per la cooperativa «Un tetto»,complesso residenziale di Milano,complesso residenziale,area residenziale | complesso edilizio | development,evento significativo: costruzione edilizia | fuso orario: UTC+2 | fuso orario: UTC+1 | architetto: Lodovico Meneghetti | architetto: Giotto Stoppino,,,,
ann_0436,Q104636529,cavalcavia Pietro Giordani,ponte di Milano,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,prende il nome da: Pietro Giordani,,,,
ann_0437,Q119075297,chiesa dei Santi Martino e Gerolamo Emiliani,chiesa a Milano,chiesa,edificio religioso | sito | tempio,diocesi: arcidiocesi di Milano | religione: cattolicesimo,,,,
ann_0438,Q67599683,chiesa di Sant'Anselmo da Baggio Vescovo,chiesa e parrocchia di Milano,chiesa | chiesa parrocchiale cattolica,chiesa cattolica | chiesa parrocchiale | edificio religioso | posizione fisica | sito | tempio,dedicato a: Anselmo di Lucca | rito cattolico: rito ambrosiano | diocesi: arcidiocesi di Milano | religione: cattolicesimo | data di fondazione o creazione: 1990-01-01,,,,
ann_0439,Q3673634,chiesa di Santa Maria alla Fontana,chiesa di Milano,chiesa | complesso di edifici,edificio religioso | insieme di strutture e di edifici | oggetto geografico | sito | tempio,rito cattolico: rito ambrosiano | diocesi: arcidiocesi di Milano | religione: cattolicesimo | stile architettonico: architettura rinascimentale | architetto: Giovanni Antonio Amadeo | designazione del patrimonio: bene culturale italiano | prende il nome da: Maria | data di fondazione o creazione: 1507-01-01,,,,
ann_0440,Q18207393,chiesa di Santa Maria della Sanità,chiesa di Milano,chiesa,edificio religioso | sito | tempio,rito cattolico: rito ambrosiano | diocesi: arcidiocesi di Milano | religione: cattolicesimo | stile architettonico: architettura barocca italiana | architetto: Giovanni Battista Quadrio | designazione del patrimonio: bene culturale italiano | data di fondazione o creazione: 1708-01-01,,,,
ann_0441,Q107289882,cinema Adria Rugabella,cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1989-01-01 | data di apertura ufficiale: 1976-04-01,,,,
ann_0442,Q55992879,cinema Alce,ex cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1989-01-01 | data di fondazione o creazione: 1952-01-01,,,,
ann_0443,Q107289330,cinema Alexander,cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1984-01-01 | data di apertura ufficiale: 1969-01-01,,,,
ann_0444,Q37158210,cinema Ambra,"cinema di Milano, Italia",cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,codice postale: 20131,,,,
ann_0445,Q107289478,cinema Araldo,cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1978-04-01 | data di apertura ufficiale: 1958-06-20,,,,
ann_0446,Q107289280,cinema Aramis,cinema di Milano,cinema,azienda | luogo per eventi | sito,data di chiusura ufficiale: 1983-01-01 | data di apertura ufficiale: 1929-01-01 | nome ufficiale: Aramis | nome ufficiale: Moderno,,,,
ann_0447,Q107289430,cinema Argo,cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,architetto: Mario Cavallé | data di chiusura ufficiale: 2001-01-01 | nome ufficiale: Argo | nome ufficiale: Monza,,,,
ann_0448,Q107290225,cinema Astoria,ex cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,data di chiusura ufficiale: 2007-01-01 | data di apertura ufficiale: 1940-01-01 | nome ufficiale: Astoria | nome ufficiale: Regina,,,,
ann_0449,Q107289240,cinema Golden,cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,data di chiusura ufficiale: 1992-01-01 | data di apertura ufficiale: 1970-05-26,,,,
ann_0450,Q107468010,cinema Sempione,cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,luogo: Cagnola,,,,
ann_0451,Q107289306,cinema Zodiaco,cinema di Milano,cinema | cinema a luci rosse,azienda | cinema | luogo per eventi | sito,data di chiusura ufficiale: 2009-01-01 | data di apertura ufficiale: 1959-01-01,,,,
ann_0452,Q67025697,condominio Annunciata,edificio per appartamenti di Milano,edificio d’appartamenti,casa multifamiliare | edificio multipiano,evento significativo: costruzione edilizia | architetto: Antonio Cassi Ramelli,,,,
ann_0453,Q3694607,corso Buenos Aires,strada di Milano,strada urbana,infrastruttura di trasporto | strada | struttura architettonica,prende il nome da: Buenos Aires | codice via: 2129,,,,
ann_0454,Q106414615,corso Buenos Aires 75,edificio di Milano,edificio,struttura architettonica,data di fondazione o creazione: 1927-01-01,,,,
ann_0455,Q107477683,corso Buenos Aires 77-79,edificio di Milano,edificio,struttura architettonica,architetto: Piero Portaluppi | data di fondazione o creazione: 1961-01-01,,,,
ann_0456,Q107477649,corso Buenos Aires 92,edificio di Milano,edificio,struttura architettonica,architetto: Paolo Chiolini | data di fondazione o creazione: 1952-01-01,,,,
ann_0457,Q105069541,edificio Lanerossi,edificio di Milano,edificio,struttura architettonica,architetto: Paolo Chiolini,,,,
ann_0458,Q104671607,edificio Tecnimont,edificio di Milano,edificio,struttura architettonica,evento significativo: costruzione edilizia | architetto: Giulio Ricci | architetto: Claudio Longo | data di apertura ufficiale: 1975-01-01 | data di fondazione o creazione: 1970-01-01,,,,
ann_0459,Q55387538,edificio della Chase Manhattan Bank,edificio per uffici di Milano,edificio per uffici,edificio,architetto: Gian Luigi Banfi | architetto: Enrico Peressutti | data di fondazione o creazione: 1969-01-01 | codice postale: 20121,,,,
ann_0460,Q89123708,galleria Cavour,galleria commerciale di Milano,galleria commerciale,centro commerciale | galleria | via di comunicazione,parte di: piazza Cavour 1 | prende il nome da: piazza Cavour,,,,
ann_0461,Q118092532,largo Celestino Usuelli 1,edificio di Milano,edificio,struttura architettonica,architetto: Gian Domenico Salotti,,,,
ann_0462,Q106434478,largo Desio,largo di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: Desio | codice via: 1302,,,,
ann_0463,Q106434476,largo La Foppa,largo di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: depressione | codice via: 1033,,,,
ann_0464,Q106434470,largo dei Bersaglieri,largo di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: bersaglieri | codice via: 657,,,,
ann_0465,Q42306715,molino Dorino,mulino ad acqua di Milano,mulino,edificio industriale | macchina,numero di piani: 3,,,,
ann_0466,Q32114071,monumento a Giuseppe Verdi,statua in piazza Buonarroti a Milano,statua,artefatto | figura | scultura,raffigura: Giuseppe Verdi | genere: arte pubblica | materiale usato: bronzo | creatore: Enrico Butti | designazione del patrimonio: bene culturale italiano | data di fondazione o creazione: 1913-01-01,,,,
ann_0467,Q20008362,organo della chiesa di Sant'Antonio abate a Milano,,organo a canne,"organo | serie di aerofoni ad ancia doppia, a canna conica | serie di flauti aperti a fessura interna, senza fori | strumento musicale aerofono a tastiera | struttura architettonica",parte di: chiesa di Sant'Antonio abate,,,,
ann_0468,Q111534340,palazzo Corio Casati,palazzo di Milano,edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0469,Q108916782,palazzo Orti Antichi,palazzo di Milano,complesso residenziale,area residenziale | complesso edilizio | development,architetto: Paolo Pejrone | data di fondazione o creazione: 2007-01-01 | superficie: 30000,,,,
ann_0470,Q133042572,palazzo SIE,edificio a Milano,edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0471,Q122336940,palazzo del Consorzio Agrario,edificio di Milano,edificio,struttura architettonica,unità amministrativa in cui è situato: Milano,,,,
ann_0472,Q115408392,palazzo di via Larga 12 a Milano,palazzo di Milano,edificio | edificio per uffici | palazzo,casa | edificio | struttura architettonica,modalità di acquisto: espropriazione per pubblica utilità | uso: carica pubblica | materiale usato: calcare | materiale usato: mattone | distinto da: Palazzo Poli | consiste di: Palazzo Reale di Milano | proprietario: Maria Polli | proprietario: Governo Mussolini,,,,
ann_0473,Q3895365,parco Alessandrina Ravizza,parco di Milano,orto botanico | parco | parco cittadino,collezione | giardino | giardino espositivo | GLAM | istituto di ricerca | oggetto geografico artificiale | parco | physical public space | recreation area | servizio | spazio urbano | verde urbano,ispirato dall'opera: The Backs | ispirato dall'opera: Stanford University Arboretum | connesso con: Parco della cultura | connesso con: parco della Vettabbia | sport: corsa | luogo chiave: Campus Bocconi | evento significativo: XXV Giochi olimpici invernali | consiste di: Quartiere Bocconi,,,,
ann_0474,Q107329537,piazza Angilberto II,piazza di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,concetto più ampio: Fondazione Prada | commemora: Angilberto II | codice via: 4278,,,,
ann_0475,Q106632715,piazza Carbonari 2,edificio di Milano,edificio,struttura architettonica,architetto: Luigi Caccia Dominioni,,,,
ann_0476,Q89123616,piazza Cavour 1,edificio di Milano,edificio,struttura architettonica,residente: Cinema Cavour | consiste di: galleria Cavour,,,,
ann_0477,Q106629210,piazza IV Novembre 3,edificio di Milano,edificio,struttura architettonica,via: piazza IV Novembre,,,,
ann_0478,Q105064111,piazza Luigi di Savoia,piazza di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: Luigi Amedeo di Savoia-Aosta | nome ufficiale: Piazza Luigi di Savoia | codice via: 2260,,,,
ann_0479,Q127789437,piazza Madonna della Provvidenza,piazza di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: chiesa della Madonna della Divina Provvidenza | codice via: 6851,,,,
ann_0480,Q107417569,piazza Monte Titano,piazza di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: Monte Titano | codice via: 2654,,,,
ann_0481,Q106633668,piazzale Carlo Maciachini 10,edificio di Milano,edificio,struttura architettonica,architetto: Mario Bacciocchi,,,,
ann_0482,Q106363430,piazzale Giovanni delle Bande Nere,piazza di Milano,piazza,luogo | open space | physical public space | struttura architettonica | via di comunicazione,prende il nome da: Giovanni delle Bande Nere | codice via: 6614,,,,
ann_0483,Q111082881,piazzale Principessa Clotilde 6,edificio di Milano,edificio,struttura architettonica,edificio adiacente: Casa dei Giornalisti | ingegnere strutturale: Arturo Danusso | evento significativo: costruzione edilizia | architetto: Antonio Cassi Ramelli,,,,
ann_0484,Q104650262,ponte Guido Crepax,ponte di Milano,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,attraversamento successivo a monte: ponte ferroviario sul Naviglio Grande | permette il passaggio di: circonvallazione esterna di Milano | attraversa: Naviglio Grande | prende il nome da: Guido Crepax | prende il nome da: Piazzale delle Milizie,,,,
ann_0485,Q104636519,ponte Richard Ginori,ponte di Milano,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,attraversamento successivo a monte: cavalcavia Don Lorenzo Milani | attraversa: Naviglio Grande | prende il nome da: Ginori 1735,,,,
ann_0486,Q104650303,ponte di San Cristoforo,ponte di Milano,ponte pedonale,percorso pedonale | ponte,attraversamento successivo a valle: ponte ferroviario sul Naviglio Grande | attraversa: Naviglio Grande | prende il nome da: San Cristoforo sul Naviglio,,,,
ann_0487,Q104650277,ponte ferroviario sul Naviglio Grande,ponte di Milano,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,attraversamento successivo a monte: ponte di San Cristoforo | attraversamento successivo a valle: ponte Guido Crepax | permette il passaggio di: cintura sud di Milano | attraversa: Naviglio Grande,,,,
ann_0488,Q104603303,ponte tranviario di Via Filippo Palizzi,ponte di Milano,ponte,luogo | oggetto geografico | struttura architettonica | via di comunicazione,unità amministrativa in cui è situato: Milano,,,,
ann_0489,Q119896130,quartiere Campania,complesso residenziale di Milano,complesso residenziale,area residenziale | complesso edilizio | development,evento significativo: edilizia | architetto: Giovanni Muzio | prende il nome da: viale Campania,,,,
ann_0490,Q18224388,quartiere Ettore Ponti,complesso edilizio di Milano,complesso residenziale,area residenziale | complesso edilizio | development,fuso orario: UTC+2 | fuso orario: UTC+1 | stile architettonico: razionalismo italiano | architetto: Renato Camus | architetto: Giancarlo Palanti,,,,
ann_0491,Q18224390,quartiere IACP Lorenteggio,complesso residenziale di Milano,complesso residenziale,area residenziale | complesso edilizio | development,fuso orario: UTC+2 | fuso orario: UTC+1 | stile architettonico: razionalismo italiano | architetto: Giovanni Broglio,,,,
ann_0492,Q20007351,quartiere Lagosta,complesso di edilizia popolare di Milano,complesso residenziale,area residenziale | complesso edilizio | development,uso: edificio abitativo | evento significativo: costruzione edilizia | fuso orario: Fuso orario dell'europa centrale | architetto: Giulio Ulisse Arata | prende il nome da: piazzale Lagosta | numero di piani: 5,,,,
ann_0493,Q111083028,quartiere-giardino Tito Livio,complesso residenziale di Milano,complesso residenziale,area residenziale | complesso edilizio | development,evento significativo: costruzione edilizia | architetto: Antonio Cassi Ramelli | prende il nome da: via Tito Livio,,,,
ann_0494,Q124962520,scurolo di San Carlo,cappella ipogea nel Duomo di Milano,cripta,monumento funebre | parte di un edificio | struttura funeraria,creatore: Pietro Pestagalli | creatore: Francesco Maria Richini | parte di: Duomo di Milano | stile architettonico: architettura barocca | prende il nome da: Carlo Borromeo | data di fondazione o creazione: 1606-01-01,,,,
ann_0495,Q133566,stadio Giuseppe Meazza,impianto sportivo multifunzione di Milano,impianto sportivo polivalente | stadio olimpico,impianto sportivo | impianto sportivo polivalente | multipurpose object | sede olimpica,classificazione UEFA di uno stadio: categoria 4 UEFA | superficie di gioco: GrassMaster | inaugurato da: Adalberto di Savoia-Genova | categoria per l'interno dell'elemento: Category:Interior of Stadio Giuseppe Meazza | categoria per l'esterno di questo elemento: Category:Exterior of Stadio Giuseppe Meazza | sport: rugby a 15 | sport: calcio | residente: FC Inter,,,,
